threshold                precision                recall                   f1_score
6.300000000000000044e-01 9.230086039411601329e-01 3.548782960378183970e-01 5.126521300128717984e-01
6.400000000000000133e-01 9.267226302903113222e-01 3.392771392899446292e-01 4.967075199775033978e-01
6.500000000000000222e-01 9.302844906699296867e-01 3.245189999039600481e-01 4.811829020340028795e-01
6.600000000000000311e-01 9.336899084933625304e-01 3.092273052256405141e-01 4.645883267733892930e-01
6.700000000000000400e-01 9.371498421106244647e-01 2.945225213688894561e-01 4.481901885321771251e-01
6.800000000000000488e-01 9.403113258185722412e-01 2.804046483337068185e-01 4.319885579009666299e-01
6.900000000000000577e-01 9.435340423116224118e-01 2.660413398640500970e-01 4.150531906038257279e-01
7.000000000000000666e-01 9.460713714194270985e-01 2.523503110627354218e-01 3.984263775514501615e-01
7.099999999999999645e-01 9.480414990472157966e-01 2.389047176958948304e-01 3.816374887066805721e-01
7.199999999999999734e-01 9.507121355079301006e-01 2.258005997161485756e-01 3.649282560706401668e-01
7.299999999999999822e-01 9.529910459135073619e-01 2.135181568865981705e-01 3.488714725343701750e-01
7.399999999999999911e-01 9.555330463408457931e-01 2.013317540096680180e-01 3.325870822168946472e-01
7.500000000000000000e-01 9.575249932450689005e-01 1.890813244976576879e-01 3.158016682113067852e-01
7.600000000000000089e-01 9.592118907708261366e-01 1.776739123475365723e-01 2.998136293655295215e-01
7.700000000000000178e-01 9.613625123639960579e-01 1.659463670220144849e-01 2.830362099247408780e-01
7.800000000000000266e-01 9.630664803353963244e-01 1.544322438134263786e-01 2.661810958450587239e-01
7.900000000000000355e-01 9.643472022955523748e-01 1.434516758971732253e-01 2.497515118298948011e-01
8.000000000000000444e-01 9.658066521603978494e-01 1.326205034627738477e-01 2.332166749547284201e-01
8.100000000000000533e-01 9.669219762646241723e-01 1.225896639668768856e-01 2.175922418365027755e-01
8.200000000000000622e-01 9.680440771349861917e-01 1.124947978358997319e-01 2.015659506123268219e-01
8.300000000000000711e-01 9.709489344591877291e-01 1.030722113732646106e-01 1.863610492094270321e-01
8.399999999999999689e-01 9.729461130742049768e-01 9.402311361526395628e-02 1.714752790292603801e-01
8.499999999999999778e-01 9.747888875290662281e-01 8.499535806895668066e-02 1.563573545866787096e-01
8.599999999999999867e-01 9.769008662175168167e-01 7.581820704079564321e-02 1.407153608492434371e-01
8.699999999999999956e-01 9.778678304239400987e-01 6.695051808218885347e-02 1.253208425299869311e-01
8.800000000000000044e-01 9.776635348342492815e-01 5.885114874454439732e-02 1.110194057492551595e-01
8.900000000000000133e-01 9.785168353645941064e-01 5.054902839581265628e-02 9.613199123305461724e-02
9.000000000000000222e-01 9.811873931101880997e-01 4.285516108034275601e-02 8.212343053453845243e-02
9.100000000000000311e-01 9.818883610451306643e-01 3.528934703503323889e-02 6.813007962587171173e-02
9.200000000000000400e-01 9.834399698908543597e-01 2.788359957742420764e-02 5.422961979080192368e-02
9.300000000000000488e-01 9.878875968992247847e-01 2.175838482141904257e-02 4.257896110676063356e-02
9.400000000000000577e-01 9.909596662030597525e-01 1.520632583154592384e-02 2.995302105119338962e-02
9.500000000000000666e-01 9.924487594390507539e-01 9.817417378962982680e-03 1.944250723810731635e-02
9.599999999999999645e-01 9.960937500000000000e-01 5.442263981816435579e-03 1.082538233764579992e-02
9.699999999999999734e-01 9.957081545064377925e-01 2.475696556434143440e-03 4.939112662862982228e-03
9.799999999999999822e-01 1.000000000000000000e+00 5.869108215684390971e-04 1.173133118614423220e-03
9.899999999999999911e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
