threshold                precision                recall                   f1_score
4.899999999999999911e-01 2.846060142833257700e-01 6.357631441346266454e-01 3.931944325283950326e-01
5.000000000000000000e-01 2.847590191319998021e-01 6.348347579259638884e-01 3.931625626181318722e-01
5.100000000000000089e-01 2.865434107666233743e-01 6.332661053664990769e-01 3.945561044366285852e-01
5.200000000000000178e-01 2.833969328590101311e-01 6.316227550661075441e-01 3.912483061770829496e-01
5.300000000000000266e-01 2.841503244395061079e-01 6.303849067878903867e-01 3.917270098936367906e-01
5.400000000000000355e-01 2.852313992119292485e-01 6.303208801528101812e-01 3.927406673559419858e-01
5.500000000000000444e-01 2.851406984065481542e-01 6.282400145127039481e-01 3.922500091611393902e-01
5.600000000000000533e-01 2.839623051620288607e-01 6.273436416215812939e-01 3.909596930259158776e-01
5.700000000000000622e-01 2.847860976827855106e-01 6.267567308000128179e-01 3.916252708784797587e-01
5.799999999999999600e-01 2.877619117719220632e-01 6.257856601679632202e-01 3.942373302946880487e-01
5.899999999999999689e-01 2.850355135810178075e-01 6.235127146226163708e-01 3.912247282417652960e-01
5.999999999999999778e-01 2.859265798572794837e-01 6.221147997566988108e-01 3.917864559182274165e-01
6.099999999999999867e-01 2.873764562495990660e-01 6.214852045117436052e-01 3.930195834964166912e-01
6.199999999999999956e-01 2.883838358737842444e-01 6.192015878605500179e-01 3.935006544103186732e-01
6.300000000000000044e-01 2.882044658602617715e-01 6.191055479079297097e-01 3.933142609214415053e-01
6.400000000000000133e-01 2.869349845201238369e-01 6.181238061700333741e-01 3.919333121325095926e-01
6.500000000000000222e-01 2.892779935145522452e-01 6.168646156801229630e-01 3.938571180372211766e-01
6.600000000000000311e-01 2.905080530256116123e-01 6.157334784603728517e-01 3.947634880888852837e-01
6.700000000000000400e-01 2.877639795130849665e-01 6.127455688232971154e-01 3.916140670342673769e-01
6.800000000000000488e-01 2.890907443026757284e-01 6.126708710823702830e-01 3.928254986948920835e-01
6.900000000000000577e-01 2.916639074956065558e-01 6.110061785702852744e-01 3.948473585126850982e-01
7.000000000000000666e-01 2.890821119118957006e-01 6.095122237517474062e-01 3.921660172677182699e-01
7.099999999999999645e-01 2.885971409149478140e-01 6.070792116187000431e-01 3.912156981401954114e-01
7.199999999999999734e-01 2.914153418103603288e-01 6.057773367054027913e-01 3.935226264418810738e-01
7.299999999999999822e-01 2.900597306745420489e-01 6.047422394382729882e-01 3.920674673455833426e-01
